"","dir1","NCX.HP","NCX.AM","NCX.BG","HP.AM","HP.BG","BG.AM","mean_pw"
"GO:0009611","increasing",0.5,0.5,0.75,0.25,0.4,0.333333333333333,0.455555555555556
"GO:0050890","increasing",0.428571428571429,0.571428571428571,0.142857142857143,0.5,0.666666666666667,0.6,0.484920634920635
"GO:0034762","increasing",0.2,0.6,0.6,0.4,0.166666666666667,0.285714285714286,0.375396825396825
"GO:0048870","increasing",0.666666666666667,0.4,0,0.75,0.75,0.25,0.469444444444444
"GO:0051674","increasing",0.2,0.25,0.4,0.428571428571429,0.2,0.25,0.288095238095238
"GO:0001508","increasing",0.125,0.25,0.25,0.142857142857143,0.571428571428571,0.25,0.264880952380952
"GO:0051234","increasing",0.25,0.75,0.6,0.6,0.75,0.6,0.591666666666667
"GO:0034765","increasing",0.2,0.666666666666667,0.5,0.5,0.666666666666667,0,0.422222222222222
"GO:0048878","increasing",0.428571428571429,0.142857142857143,0.125,0.2,0.8,0.428571428571429,0.354166666666667
"GO:0048869","increasing",0.6,0.5,0.6,0,0.5,0.5,0.45
"GO:0006812","increasing",0.285714285714286,0.142857142857143,0.571428571428571,0.666666666666667,0.333333333333333,0.5,0.416666666666667
"GO:0072503","increasing",0.285714285714286,0.285714285714286,0.428571428571429,0.4,0.2,0.5,0.35
"GO:0007417","increasing",0.25,0.75,0.333333333333333,0.333333333333333,0.25,0,0.319444444444444
"GO:0042063","increasing",0.333333333333333,0.285714285714286,0.2,0,0.6,0.5,0.31984126984127
"GO:0006810","increasing",0.25,0.25,0.333333333333333,0.6,0.125,0.5,0.343055555555556
"GO:0046903","increasing",0.8,0.25,0,0.285714285714286,0.8,0.25,0.397619047619048
"GO:0030003","increasing",0.5,0.375,0.5,0.666666666666667,0.2,0.428571428571429,0.445039682539683
"GO:0065007","increasing",0.4,0,0,0.6,0.75,0.4,0.358333333333333
"GO:0006875","increasing",0.6,0.2,0.333333333333333,0.571428571428571,0.8,0.4,0.484126984126984
"GO:0006873","increasing",0.666666666666667,0.333333333333333,0.5,0.571428571428571,0.6,0.833333333333333,0.584126984126984
"GO:0040012","increasing",0.5,0.6,0.25,0.5,0.6,0.8,0.541666666666667
"GO:1901698","increasing",0.4,0,0.5,0.333333333333333,0.6,0.6,0.405555555555556
"GO:0051270","increasing",0.5,0.25,1,0.166666666666667,0.333333333333333,0.75,0.5
"GO:0098660","increasing",0.285714285714286,0.4,0.4,0.2,0.2,0.2,0.280952380952381
"GO:0010001","increasing",0.428571428571429,0.4,0.285714285714286,0,0.166666666666667,0.142857142857143,0.237301587301587
"GO:0032940","increasing",0,0.4,0.6,0.25,0.25,0.5,0.333333333333333
"GO:0098662","increasing",0.2,0.8,0.166666666666667,0.5,0.5,0.5,0.444444444444444
"GO:0030334","increasing",0.5,0.5,0.4,0.75,0.2,0.25,0.433333333333333
"GO:0055082","increasing",0.571428571428571,0.428571428571429,0.571428571428571,0.6,0.285714285714286,0.4,0.476190476190476
"GO:0009725","increasing",0.333333333333333,0.166666666666667,0.2,0.2,0.4,0.8,0.35
"GO:0006936","increasing",0.5,0.25,0.5,0.333333333333333,0.666666666666667,0.4,0.441666666666667
"GO:0055065","increasing",0.428571428571429,0.166666666666667,0.5,0.6,0.4,0.6,0.449206349206349
"GO:0019932","increasing",0.166666666666667,0.285714285714286,0.142857142857143,0.142857142857143,0.2,0.2,0.18968253968254
"GO:0022008","increasing",0.5,0.8,0.571428571428571,0.8,0.4,0.333333333333333,0.567460317460317
"GO:0048167","increasing",0.142857142857143,0.375,0.375,0.142857142857143,0.5,0.428571428571429,0.327380952380952
"GO:0050793","increasing",1,0.6,0.333333333333333,0.666666666666667,0,0.5,0.516666666666667
"GO:2000145","increasing",0.5,0.428571428571429,0.5,0.285714285714286,0.142857142857143,0.6,0.40952380952381
"GO:0010243","increasing",0.666666666666667,0.2,0.166666666666667,1,0.333333333333333,0.5,0.477777777777778
"GO:0006874","increasing",0.333333333333333,0.166666666666667,0.166666666666667,0.666666666666667,0.166666666666667,0.4,0.316666666666667
"GO:0072507","increasing",0,0,0.285714285714286,0.8,0.6,0.2,0.314285714285714
"GO:0055080","increasing",0.375,0,0.5,0.6,0.6,0.6,0.445833333333333
"GO:0003012","increasing",0.666666666666667,0.333333333333333,0.428571428571429,0.5,0.25,0.4,0.429761904761905
"GO:0070887","increasing",0.5,0.75,0.4,0.25,0.666666666666667,0.428571428571429,0.499206349206349
"GO:0045595","increasing",0.25,0.333333333333333,0.6,0,0,0.25,0.238888888888889
"GO:0033993","increasing",0.833333333333333,0.5,0.2,0.25,0.75,0.8,0.555555555555556
"GO:0048468","increasing",0.5,0.75,0.75,0,0.333333333333333,1,0.555555555555556
"GO:0009605","increasing",0.2,0.666666666666667,0.4,0.333333333333333,0,0,0.266666666666667
"GO:0006813","increasing",0.625,0.142857142857143,0.428571428571429,0.285714285714286,0.285714285714286,0.25,0.336309523809524
"GO:0007270","increasing",0.857142857142857,0.333333333333333,0.166666666666667,0.5,0.333333333333333,0.285714285714286,0.412698412698413
"GO:0071310","increasing",0,0.333333333333333,1,0.5,1,0.25,0.513888888888889
"GO:0098655","increasing",0.2,0.6,0.6,0.666666666666667,0.166666666666667,0.2,0.405555555555556
"GO:0055074","increasing",0.428571428571429,0.428571428571429,0.285714285714286,0.5,0.142857142857143,0.666666666666667,0.408730158730159
"GO:0015672","increasing",0.166666666666667,0.666666666666667,0.5,0.833333333333333,0.333333333333333,0,0.416666666666667
"GO:0009628","increasing",0.333333333333333,0.2,0.5,0.333333333333333,0.2,1,0.427777777777778
"GO:0050878","increasing",0.5,0.75,0.6,0.428571428571429,0.8,0,0.513095238095238
"GO:1901700","increasing",0.166666666666667,0.666666666666667,0.666666666666667,0.4,0.5,0.75,0.525
"GO:0010647","increasing",0.666666666666667,0.5,0.333333333333333,0.6,0.5,0.5,0.516666666666667
"GO:1901701","increasing",0.666666666666667,0.2,0,0,0.333333333333333,0.4,0.266666666666667
"GO:0006816","increasing",0.285714285714286,0.166666666666667,0.428571428571429,0.5,0.2,0.6,0.363492063492063
"GO:0051050","increasing",0.2,0.142857142857143,0,0.5,0.333333333333333,0.333333333333333,0.251587301587302
"GO:0048583","increasing",0.25,0.5,0,0.666666666666667,0.25,1,0.444444444444444
"GO:0030168","increasing",0.333333333333333,0.5,0.333333333333333,0.333333333333333,0.2,0.428571428571429,0.354761904761905
"GO:0019226","increasing",0.428571428571429,0.5,0.25,0.5,0.285714285714286,0.285714285714286,0.375
"GO:0009966","increasing",0.333333333333333,0.666666666666667,0.25,0.4,0.5,0.25,0.4
"GO:0023056","increasing",1,0.333333333333333,0.75,0.142857142857143,0,0.5,0.454365079365079
"GO:0030335","increasing",0.333333333333333,0.5,0.4,0.5,0.4,0.4,0.422222222222222
"GO:0050806","increasing",0.4,0.166666666666667,0.4,0.142857142857143,0.142857142857143,0.8,0.342063492063492
"GO:0006836","increasing",0.333333333333333,0.166666666666667,0.5,0.333333333333333,0.166666666666667,0.666666666666667,0.361111111111111
"GO:0045664","increasing",0.5,0.2,0.5,0.5,0.5,0.571428571428571,0.461904761904762
"GO:0010975","increasing",0.4,0.6,0.2,0.4,0.6,0.2,0.4
"GO:0040017","increasing",0.2,0.4,0.75,0.166666666666667,0.75,0.5,0.461111111111111
"GO:2000147","increasing",1,0,0.25,0.333333333333333,0.6,0.6,0.463888888888889
"GO:0071495","increasing",0.25,0.2,1,0.666666666666667,0.2,0.5,0.469444444444444
"GO:0030198","increasing",0,0.25,0,0.2,0.5,0.4,0.225
"GO:0019228","increasing",0.285714285714286,0.25,0.571428571428571,0.285714285714286,0.571428571428571,0.428571428571429,0.398809523809524
"GO:0043270","increasing",0.666666666666667,0.4,0.75,0,0.75,0.4,0.494444444444444
"GO:1900274","increasing",0.428571428571429,0.666666666666667,0.5,0.666666666666667,0.666666666666667,0.428571428571429,0.55952380952381
"GO:0051046","increasing",0.5,0.4,0.5,0.142857142857143,0.25,0.6,0.398809523809524
"GO:1902531","increasing",0.25,0.5,0.75,0.4,0.75,0.75,0.566666666666667
"GO:0051960","increasing",0.2,0.5,0.6,0.5,0.5,0.375,0.445833333333333
"GO:0071804","increasing",0.5,0.714285714285714,0.571428571428571,0.428571428571429,0.166666666666667,0.25,0.438492063492063
"GO:0071805","increasing",0.5,0.6,0.5,0.428571428571429,0.5,0.5,0.504761904761905
"GO:0001944","increasing",0.571428571428571,0.75,0.2,0.4,0.4,0.75,0.511904761904762
"GO:0043062","increasing",0.4,0.666666666666667,0.5,0.333333333333333,0.25,0.333333333333333,0.413888888888889
"GO:0051480","increasing",0.333333333333333,0.285714285714286,0.714285714285714,0.125,0.666666666666667,0.833333333333333,0.493055555555556
"GO:0010518","increasing",0.6,0.571428571428571,0.6,0.666666666666667,0.333333333333333,0.714285714285714,0.580952380952381
"GO:0048589","increasing",0.5,0.333333333333333,0.5,0.666666666666667,0.2,0.4,0.433333333333333
"GO:0070838","increasing",0.4,0.833333333333333,0.4,0.5,0.5,0.5,0.522222222222222
"GO:0048709","increasing",0.333333333333333,0.166666666666667,0.142857142857143,0.5,0.166666666666667,0.571428571428571,0.313492063492063
"GO:0051272","increasing",0.75,0.25,0.285714285714286,0.2,0.6,0.5,0.430952380952381
"GO:0050789","increasing",0.5,0.75,0.5,0.5,0.333333333333333,0.75,0.555555555555556
"GO:0042060","increasing",1,0.6,1,1,0.285714285714286,0.5,0.730952380952381
"GO:0071396","increasing",1,0.75,0.2,0.2,0.6,0.333333333333333,0.513888888888889
"GO:0010959","increasing",0.75,0.75,0.166666666666667,0.25,0.2,0.6,0.452777777777778
"GO:0031344","increasing",0.2,0.25,0.5,0,0.2,0.2,0.225
"GO:0030182","increasing",0.6,0.25,0,0.25,1,0.333333333333333,0.405555555555556
"GO:0060284","increasing",0.4,0.333333333333333,0.6,0.2,0.75,0.5,0.463888888888889
"GO:0048699","increasing",0.6,0.75,0.25,0.75,0.5,0.25,0.516666666666667
"GO:0072511","increasing",0.6,0.2,0.166666666666667,0.75,0.2,0.4,0.386111111111111
"GO:0050767","increasing",0.25,0.75,0.285714285714286,0.333333333333333,0.5,0.4,0.41984126984127
"GO:0008015","increasing",0.4,0.25,0.5,0.75,0.75,0.25,0.483333333333333
"GO:0048771","increasing",0.5,0.166666666666667,0.333333333333333,0.285714285714286,0.142857142857143,0.333333333333333,0.293650793650794
"GO:0050794","increasing",0.333333333333333,0.5,0.6,0.5,0.333333333333333,0.5,0.461111111111111
"GO:0051384","increasing",0.5,0.5,0.2,0.4,0,0.375,0.329166666666667
"GO:0003013","increasing",0.2,0.5,0.25,0.333333333333333,0.75,0.5,0.422222222222222
"GO:0031960","increasing",0.5,0.25,0.6,0.75,0.75,0.571428571428571,0.570238095238095
"GO:0032101","increasing",0.333333333333333,0.5,0.25,0.333333333333333,0,0.25,0.277777777777778
"GO:0050817","increasing",0.4,0,0.6,0.2,0.166666666666667,0.5,0.311111111111111
"GO:0010517","increasing",0.4,0.375,0.4,0.5,0.166666666666667,0.428571428571429,0.378373015873016
"GO:0031099","increasing",0.333333333333333,0.25,0.25,0.4,0.833333333333333,0.5,0.427777777777778
"GO:0007596","increasing",0.25,0.75,0.4,0,0.666666666666667,0.666666666666667,0.455555555555556
"GO:0019725","increasing",0.285714285714286,0.142857142857143,0.25,0.6,0.8,0.2,0.379761904761905
"GO:0044057","increasing",0.2,0.8,0.666666666666667,0.4,0.5,0.333333333333333,0.483333333333333
"GO:0007600","increasing",0.25,0.333333333333333,0.333333333333333,0.2,0.166666666666667,0.285714285714286,0.261507936507937
"GO:0048545","increasing",0.2,0.333333333333333,0.166666666666667,0.2,0.4,0.4,0.283333333333333
"GO:0001568","increasing",0.75,0.666666666666667,0.6,0.666666666666667,0.25,0.5,0.572222222222222
"GO:0007272","increasing",0.166666666666667,0.333333333333333,0.285714285714286,0.285714285714286,0.333333333333333,0.333333333333333,0.28968253968254
"GO:0008366","increasing",0.5,0.285714285714286,0.285714285714286,0.142857142857143,0.333333333333333,0.166666666666667,0.285714285714286
"GO:0007599","increasing",0.333333333333333,0.2,0.428571428571429,0.5,0.5,0.5,0.41031746031746
"GO:0006952","increasing",1,0.5,0,0,0.333333333333333,0.25,0.347222222222222
"GO:0035556","increasing",0.666666666666667,0.428571428571429,0.2,0.6,0.6,0.5,0.499206349206349
"GO:0050900","increasing",0.285714285714286,0.5,0.75,0.5,0.5,0.5,0.505952380952381
"GO:0070371","increasing",1,0.333333333333333,0.666666666666667,0.5,0.25,0.75,0.583333333333333
"GO:0048666","increasing",0.2,0,0.333333333333333,0.125,0.4,0.6,0.276388888888889
"GO:0060193","increasing",0.5,0.5,0.6,0.6,0.5,0.666666666666667,0.561111111111111
"GO:0048584","increasing",0,0.5,0,0.166666666666667,0,0.4,0.177777777777778
"GO:1902533","increasing",0.25,0.666666666666667,0.75,0.6,0.25,0.5,0.502777777777778
"GO:0001505","increasing",0.333333333333333,0.166666666666667,0.666666666666667,0.4,0,0.4,0.327777777777778
"GO:0030030","increasing",1,0.8,0.8,0.666666666666667,0.2,0.666666666666667,0.688888888888889
"GO:0032870","increasing",0.2,0.75,0.2,0.2,0.5,0.666666666666667,0.419444444444444
"GO:0030155","increasing",1,0.75,0.5,0.2,0,0.666666666666667,0.519444444444444
"GO:0014065","increasing",0.4,0.4,0.6,0.4,0.75,0.75,0.55
"GO:0071407","increasing",0.25,0.5,0.2,1,0.5,0.666666666666667,0.519444444444444
"GO:0007204","increasing",0.714285714285714,0.571428571428571,0.285714285714286,0.6,0.285714285714286,0.2,0.442857142857143
"GO:0007612","increasing",0.4,0.571428571428571,0.166666666666667,0.333333333333333,0.285714285714286,0.25,0.33452380952381
"GO:0035249","increasing",0.333333333333333,0.166666666666667,0.333333333333333,0.5,0.333333333333333,0.142857142857143,0.301587301587302
"GO:0051336","increasing",0.4,0.666666666666667,0,0.166666666666667,0.666666666666667,0.5,0.4
"GO:0035150","increasing",0.5,0.5,0.333333333333333,0.6,0.666666666666667,0.4,0.5
"GO:0050880","increasing",0.333333333333333,0,0.25,0.2,0.25,1,0.338888888888889
"GO:0031175","increasing",0,0.833333333333333,0.5,0.5,0.6,0.142857142857143,0.429365079365079
"GO:0048168","increasing",0.2,0.6,0.166666666666667,0.5,0.428571428571429,0,0.315873015873016
"GO:0048514","increasing",0,0.4,0.5,0.4,0.333333333333333,0.4,0.338888888888889
"GO:0072001","increasing",0.166666666666667,0.25,1,0.2,0.5,0.25,0.394444444444444
"GO:0003018","increasing",0.666666666666667,1,0.5,0.25,0.25,0.75,0.569444444444444
"GO:0001775","increasing",0.25,0,0,0,0,0,0.0416666666666667
"GO:0048518","increasing",0.666666666666667,0,0,0.666666666666667,0.5,0,0.305555555555556
"GO:0001655","increasing",0.25,0,0,1,0,0,0.208333333333333
"GO:0001822","increasing",0,0.166666666666667,0.166666666666667,0,0,0.5,0.138888888888889
"GO:0048708","increasing",0.5,0.5,0.5,0,0.25,0.6,0.391666666666667
"GO:0034103","increasing",0.5,0.333333333333333,0.166666666666667,0,0.333333333333333,0.5,0.305555555555556
"GO:0097285","increasing",0.25,0.166666666666667,0.25,0.166666666666667,0.5,0.75,0.347222222222222
"GO:0007167","increasing",0.5,0,0.25,0.2,0,0,0.158333333333333
"GO:0000165","increasing",0.5,0.5,0.333333333333333,0.4,0.75,0.6,0.513888888888889
"GO:0009967","increasing",0.75,0.25,1,0.2,0.666666666666667,0.5,0.561111111111111
"GO:0023014","increasing",0.75,0.75,0.75,0.5,0.6,0.25,0.6
"GO:0048015","increasing",0.5,0.571428571428571,0.4,1,0.6,0.6,0.611904761904762
"GO:0048017","increasing",0.4,0.333333333333333,0.6,0.4,0.25,0.25,0.372222222222222
"GO:0031589","increasing",1,0,0.8,0,0.75,0.8,0.558333333333333
"GO:0070372","increasing",0.333333333333333,0.5,0.666666666666667,1,0.333333333333333,0.6,0.572222222222222
"GO:0043408","increasing",0.666666666666667,0,0.333333333333333,0.25,0,0.2,0.241666666666667
"GO:0006887","increasing",0.2,0.75,0.4,0.333333333333333,0.142857142857143,0.25,0.346031746031746
"GO:0042552","increasing",0.285714285714286,0.428571428571429,0.142857142857143,0,0.2,0.166666666666667,0.203968253968254
"GO:0071363","increasing",0.25,0,0.5,0.142857142857143,1,0.333333333333333,0.371031746031746
"GO:0043410","increasing",0.666666666666667,0.333333333333333,0.75,0.666666666666667,0.6,0.6,0.602777777777778
"GO:0010562","increasing",0.5,1,0.4,0.25,0.571428571428571,0.666666666666667,0.56468253968254
"GO:0045937","increasing",0.75,0.2,0.5,0.4,1,0.6,0.575
"GO:0019220","increasing",0.2,0.666666666666667,0.25,0.5,0.6,0.6,0.469444444444444
"GO:0023061","increasing",0.25,0.4,0.5,0.428571428571429,1,0,0.429761904761905
"GO:0042310","increasing",0,0.25,0.666666666666667,0.285714285714286,1,0.75,0.492063492063492
"GO:0007215","increasing",0.166666666666667,0.375,0.833333333333333,0.8,0.25,0.5,0.4875
"GO:0034109","increasing",0,0.4,0.75,0.6,0.6,0.25,0.433333333333333
"GO:0070848","increasing",0.5,0.333333333333333,0.2,0.5,0.5,0.4,0.405555555555556
"GO:0042127","increasing",0.6,0.5,0,0.166666666666667,0,0,0.211111111111111
"GO:1903034","increasing",0.666666666666667,0.4,0.5,0.5,0,0.666666666666667,0.455555555555556
"GO:0050770","increasing",0.333333333333333,0,0.25,0.6,0.4,0.333333333333333,0.319444444444444
"GO:0060359","increasing",0.428571428571429,0.333333333333333,0.125,1,0.333333333333333,0.666666666666667,0.481150793650794
"GO:0060326","increasing",0.25,0.25,0.666666666666667,1,0.25,0.333333333333333,0.458333333333333
"GO:0006950","increasing",0,0.4,0.333333333333333,0.666666666666667,0.4,0,0.3
"GO:0000904","increasing",0.25,0.75,0.6,0.333333333333333,1,0.5,0.572222222222222
"GO:0090257","increasing",0.25,0.75,0.6,0.333333333333333,0.285714285714286,0,0.36984126984127
"GO:0010769","increasing",0.2,0.666666666666667,0.4,0.75,0.2,0.25,0.411111111111111
"GO:0051174","increasing",0.5,0.6,0.6,0.6,0.2,0.6,0.516666666666667
"GO:0055078","increasing",0.285714285714286,0.125,0.333333333333333,0.4,0.5,0.25,0.315674603174603
"GO:0051924","increasing",0.111111111111111,0,0.5,0,0.25,0.4,0.210185185185185
"GO:0010817","increasing",0.25,0.4,0.4,0.5,0.4,0.25,0.366666666666667
"GO:0090066","increasing",1,1,0.5,0.6,0.2,0.333333333333333,0.605555555555556
"GO:0006954","increasing",0,0.333333333333333,0,0.285714285714286,0.4,0.5,0.253174603174603
"GO:0007626","increasing",0.285714285714286,0.142857142857143,0.714285714285714,0.2,0.142857142857143,0.6,0.347619047619048
"GO:0030534","increasing",0.6,0.428571428571429,0.333333333333333,0.5,0.166666666666667,0.5,0.421428571428571
"GO:0051259","increasing",0.5,0.166666666666667,0.5,0.166666666666667,0.25,0.2,0.297222222222222
"GO:0003014","increasing",0,0.4,0.5,0.333333333333333,0.166666666666667,0.5,0.316666666666667
"GO:0048812","increasing",0.75,0.4,0.25,0.5,0.333333333333333,0.5,0.455555555555556
"GO:0051240","increasing",0.666666666666667,0.4,0,0.5,0.25,0.166666666666667,0.330555555555556
"GO:0040008","increasing",0.75,0.6,0.4,0.6,0.4,0.4,0.525
"GO:0045834","increasing",0.5,0.25,0.5,0.285714285714286,0,0.75,0.380952380952381
"GO:0046889","increasing",0.25,0,1,0,0.166666666666667,0.333333333333333,0.291666666666667
"GO:0030278","increasing",0.2,0.428571428571429,0.8,0.5,0.5,0.25,0.446428571428571
"GO:0040007","increasing",0.25,0.333333333333333,0.333333333333333,0.5,0.25,0.333333333333333,0.333333333333333
"GO:0060191","increasing",0.25,0.5,1,0.333333333333333,0.166666666666667,0.142857142857143,0.398809523809524
"GO:0042327","increasing",0.25,0.666666666666667,0.6,0.25,0.5,0.285714285714286,0.425396825396825
"GO:0043279","increasing",0.5,0.333333333333333,0.6,0.4,0.25,0.2,0.380555555555556
"GO:0007269","increasing",0.4,0.5,0.5,0.333333333333333,0.571428571428571,0,0.384126984126984
"GO:0051899","increasing",0.571428571428571,0.142857142857143,0.142857142857143,0.4,0.2,0.333333333333333,0.298412698412698
"GO:2000021","increasing",0.2,0.2,0.2,0.833333333333333,0.428571428571429,0.666666666666667,0.421428571428571
"GO:0007169","increasing",0.285714285714286,0.142857142857143,0.333333333333333,0.25,0.5,0.4,0.318650793650794
"GO:0022604","increasing",0.25,0.666666666666667,0.4,0.285714285714286,0.333333333333333,0.333333333333333,0.378174603174603
"GO:0016337","increasing",0.25,0.4,0.333333333333333,0.75,0.333333333333333,1,0.511111111111111
"GO:0050795","increasing",0.4,0.25,0.75,0.5,0.333333333333333,0.4,0.438888888888889
"GO:0032412","increasing",0.166666666666667,0.25,0.166666666666667,0.5,0.25,0.5,0.305555555555556
"GO:0021782","increasing",0.166666666666667,0.25,0.428571428571429,0.25,0,0.428571428571429,0.253968253968254
"GO:0032409","increasing",0.142857142857143,0.2,0.166666666666667,0.375,0.166666666666667,0.166666666666667,0.20297619047619
"GO:0042592","increasing",0.428571428571429,0.428571428571429,0.285714285714286,0.166666666666667,0.4,0.166666666666667,0.312698412698413
"GO:0022898","increasing",0.2,0.5,0.166666666666667,0.166666666666667,0.333333333333333,0,0.227777777777778
"GO:0046890","increasing",0,0,0.333333333333333,0.333333333333333,0.6,0.25,0.252777777777778
"GO:0019722","increasing",0.4,0.428571428571429,0.2,0.4,0.4,0.5,0.388095238095238
"GO:0007187","increasing",0.142857142857143,0.6,0,0,0.25,0.285714285714286,0.213095238095238
"GO:0098602","increasing",0.5,0.75,0.6,0.666666666666667,0.75,0.4,0.611111111111111
"GO:0050731","increasing",0.5,0.5,0.333333333333333,0.428571428571429,0.166666666666667,0.428571428571429,0.392857142857143
"GO:0006939","increasing",0.8,0.428571428571429,0.6,0.125,0.666666666666667,0.428571428571429,0.508134920634921
"GO:0007409","increasing",0.25,0.666666666666667,0.6,0.333333333333333,0.6,0.166666666666667,0.436111111111111
"GO:0071383","increasing",0.5,0.75,0.4,0.4,0.2,0.4,0.441666666666667
"GO:0097529","increasing",0.5,0,0.5,0.2,0.333333333333333,0.333333333333333,0.311111111111111
"GO:0045940","increasing",0,0,0,0.2,0,0.75,0.158333333333333
"GO:0051128","increasing",0.333333333333333,0.25,0,0.5,0.25,0.25,0.263888888888889
"GO:0043085","increasing",0.4,1,0.75,0.4,0.75,0.5,0.633333333333333
