Gene,Category
CDC25B,CellCycle_all_BarJoseph2008
CDC25C,CellCycle_all_BarJoseph2008
CIT,CellCycle_all_BarJoseph2008
MELK,CellCycle_all_BarJoseph2008
MPHOSPH1,CellCycle_all_BarJoseph2008
MPHOSPH9,CellCycle_all_BarJoseph2008
PKMYT1,CellCycle_all_BarJoseph2008
UBE2C,CellCycle_all_BarJoseph2008
WEE1,CellCycle_all_BarJoseph2008
CCNB1,CellCycle_all_BarJoseph2008
TTLL7,CellCycle_all_BarJoseph2008
CDCA8,CellCycle_all_BarJoseph2008
KIF11,CellCycle_all_BarJoseph2008
KIF14,CellCycle_all_BarJoseph2008
KIF15,CellCycle_all_BarJoseph2008
KIF22,CellCycle_all_BarJoseph2008
KIF23,CellCycle_all_BarJoseph2008
KIFC1,CellCycle_all_BarJoseph2008
KIF2C,CellCycle_all_BarJoseph2008
NUSAP1,CellCycle_all_BarJoseph2008
SPAG5,CellCycle_all_BarJoseph2008
TPX2,CellCycle_all_BarJoseph2008
TUBA1,CellCycle_all_BarJoseph2008
TUBB,CellCycle_all_BarJoseph2008
TUBD1,CellCycle_all_BarJoseph2008
KIF18A,CellCycle_all_BarJoseph2008
KIF4A,CellCycle_all_BarJoseph2008
LOC146909,CellCycle_all_BarJoseph2008
TUBGCP3,CellCycle_all_BarJoseph2008
BUB1,CellCycle_all_BarJoseph2008
BUB1B,CellCycle_all_BarJoseph2008
AURKB,CellCycle_all_BarJoseph2008
DLG7,CellCycle_all_BarJoseph2008
KNTC2,CellCycle_all_BarJoseph2008
MAD2L1,CellCycle_all_BarJoseph2008
NEK2,CellCycle_all_BarJoseph2008
PLK1,CellCycle_all_BarJoseph2008
PLK4,CellCycle_all_BarJoseph2008
PRC1,CellCycle_all_BarJoseph2008
RABGAP1,CellCycle_all_BarJoseph2008
STK6,CellCycle_all_BarJoseph2008
TTK,CellCycle_all_BarJoseph2008
ASPM,CellCycle_all_BarJoseph2008
DCC1,CellCycle_all_BarJoseph2008
BRRN1,CellCycle_all_BarJoseph2008
CENPA,CellCycle_all_BarJoseph2008
CENPE,CellCycle_all_BarJoseph2008
HCAP-G,CellCycle_all_BarJoseph2008
PTTG1,CellCycle_all_BarJoseph2008
RAD21,CellCycle_all_BarJoseph2008
SMC4L1,CellCycle_all_BarJoseph2008
CENPF,CellCycle_all_BarJoseph2008
CNAP1,CellCycle_all_BarJoseph2008
CSPG6,CellCycle_all_BarJoseph2008
ESPL1,CellCycle_all_BarJoseph2008
KRT7,CellCycle_all_BarJoseph2008
CKAP2,CellCycle_all_BarJoseph2008
GAS2L1,CellCycle_all_BarJoseph2008
KRT19,CellCycle_all_BarJoseph2008
DST,CellCycle_all_BarJoseph2008
NUP62,CellCycle_all_BarJoseph2008
LMNB2,CellCycle_all_BarJoseph2008
NUP37,CellCycle_all_BarJoseph2008
LMNB1,CellCycle_all_BarJoseph2008
ACF,CellCycle_all_BarJoseph2008
BCLAF1,CellCycle_all_BarJoseph2008
EAF2,CellCycle_all_BarJoseph2008
EXOSC9,CellCycle_all_BarJoseph2008
HNRNPG-T,CellCycle_all_BarJoseph2008
MYBL1,CellCycle_all_BarJoseph2008
NR1D1,CellCycle_all_BarJoseph2008
NR2F1,CellCycle_all_BarJoseph2008
SFRS6,CellCycle_all_BarJoseph2008
SLBP,CellCycle_all_BarJoseph2008
SP1,CellCycle_all_BarJoseph2008
YEATS4,CellCycle_all_BarJoseph2008
ZNF250,CellCycle_all_BarJoseph2008
CDC2L6,CellCycle_all_BarJoseph2008
CLK4,CellCycle_all_BarJoseph2008
CROP,CellCycle_all_BarJoseph2008
ETV1,CellCycle_all_BarJoseph2008
FOXM1,CellCycle_all_BarJoseph2008
HNRPUL1,CellCycle_all_BarJoseph2008
MAD1L1,CellCycle_all_BarJoseph2008
PSIP1,CellCycle_all_BarJoseph2008
RFP,CellCycle_all_BarJoseph2008
SFPQ,CellCycle_all_BarJoseph2008
STAT1,CellCycle_all_BarJoseph2008
TRIP13,CellCycle_all_BarJoseph2008
APOBE,CellCycle_all_BarJoseph2008
BRD8,CellCycle_all_BarJoseph2008
C3B,CellCycle_all_BarJoseph2008
DDX39,CellCycle_all_BarJoseph2008
EMX2,CellCycle_all_BarJoseph2008
ETV5,CellCycle_all_BarJoseph2008
FALZ,CellCycle_all_BarJoseph2008
FOSL2,CellCycle_all_BarJoseph2008
GATA2,CellCycle_all_BarJoseph2008
GLE1L,CellCycle_all_BarJoseph2008
GLI3,CellCycle_all_BarJoseph2008
HOXA9,CellCycle_all_BarJoseph2008
NFE2L2,CellCycle_all_BarJoseph2008
RBM5,CellCycle_all_BarJoseph2008
SFRS7,CellCycle_all_BarJoseph2008
CTGF,CellCycle_all_BarJoseph2008
FGFR3,CellCycle_all_BarJoseph2008
IL7R,CellCycle_all_BarJoseph2008
MET,CellCycle_all_BarJoseph2008
NEDD9,CellCycle_all_BarJoseph2008
PRKD1,CellCycle_all_BarJoseph2008
RAB23,CellCycle_all_BarJoseph2008
RANGAP1,CellCycle_all_BarJoseph2008
RGS7,CellCycle_all_BarJoseph2008
TNFRSF10D,CellCycle_all_BarJoseph2008
CALM3,CellCycle_all_BarJoseph2008
FYN,CellCycle_all_BarJoseph2008
MAP3K6,CellCycle_all_BarJoseph2008
PASK,CellCycle_all_BarJoseph2008
PBK,CellCycle_all_BarJoseph2008
PRKD2,CellCycle_all_BarJoseph2008
RAB27A,CellCycle_all_BarJoseph2008
KLF11,CellCycle_all_BarJoseph2008
MC4R,CellCycle_all_BarJoseph2008
PITPNC1,CellCycle_all_BarJoseph2008
PTGFR,CellCycle_all_BarJoseph2008
RACGAP1,CellCycle_all_BarJoseph2008
RHOBTB3,CellCycle_all_BarJoseph2008
SMAD3,CellCycle_all_BarJoseph2008
TGFBR3,CellCycle_all_BarJoseph2008
ABHD10,CellCycle_all_BarJoseph2008
ABHD3,CellCycle_all_BarJoseph2008
ABHD5,CellCycle_all_BarJoseph2008
AMACR,CellCycle_all_BarJoseph2008
ASPH,CellCycle_all_BarJoseph2008
ATP6V1A,CellCycle_all_BarJoseph2008
FBXO11,CellCycle_all_BarJoseph2008
GCLC,CellCycle_all_BarJoseph2008
HRMT1L3,CellCycle_all_BarJoseph2008
ICMT,CellCycle_all_BarJoseph2008
IMPA2,CellCycle_all_BarJoseph2008
LRP8,CellCycle_all_BarJoseph2008
MAN1A2,CellCycle_all_BarJoseph2008
MRPS16,CellCycle_all_BarJoseph2008
MTHFD1,CellCycle_all_BarJoseph2008
STC2,CellCycle_all_BarJoseph2008
SUCLG2,CellCycle_all_BarJoseph2008
TXNRD1,CellCycle_all_BarJoseph2008
FBXO31,CellCycle_all_BarJoseph2008
SLC25A36,CellCycle_all_BarJoseph2008
GCLM,CellCycle_all_BarJoseph2008
GOT1,CellCycle_all_BarJoseph2008
RPS6KA5,CellCycle_all_BarJoseph2008
SLC7A11,CellCycle_all_BarJoseph2008
SEPHS1,CellCycle_all_BarJoseph2008
UBE2S,CellCycle_all_BarJoseph2008
USP13,CellCycle_all_BarJoseph2008
RPL39L,CellCycle_all_BarJoseph2008
SLC24A1,CellCycle_all_BarJoseph2008
SLC38A2,CellCycle_all_BarJoseph2008
CASP2,CellCycle_all_BarJoseph2008
CASP8AP2,CellCycle_all_BarJoseph2008
FAF1,CellCycle_all_BarJoseph2008
ARL6IP,CellCycle_all_BarJoseph2008
BIRC3,CellCycle_all_BarJoseph2008
BIRC5,CellCycle_all_BarJoseph2008
CASP6,CellCycle_all_BarJoseph2008
GTSE1,CellCycle_all_BarJoseph2008
STK17B,CellCycle_all_BarJoseph2008
DNAJB9,CellCycle_all_BarJoseph2008
HRBL,CellCycle_all_BarJoseph2008
NASP,CellCycle_all_BarJoseph2008
PEX13,CellCycle_all_BarJoseph2008
XPO1,CellCycle_all_BarJoseph2008
DNAJC13,CellCycle_all_BarJoseph2008
CSE1L,CellCycle_all_BarJoseph2008
1700019G17RIK,Astrocyte_definite__Cahoy2008
1700027L20RIK,Astrocyte_definite__Cahoy2008
2610034M16RIK,Astrocyte_definite__Cahoy2008
2900019G14RIK,Astrocyte_definite__Cahoy2008
2900052N01RIK,Astrocyte_definite__Cahoy2008
4933416E14RIK,Astrocyte_definite__Cahoy2008
A730056I06RIK,Astrocyte_definite__Cahoy2008
ABCD2,Astrocyte_definite__Cahoy2008
ACOT11,Astrocyte_definite__Cahoy2008
ACSBG1,Astrocyte_definite__Cahoy2008
ACSL6,Astrocyte_definite__Cahoy2008
ACSS1,Astrocyte_definite__Cahoy2008
ADHFE1,Astrocyte_definite__Cahoy2008
ADORA2B,Astrocyte_definite__Cahoy2008
AGT,Astrocyte_definite__Cahoy2008
AGXT2L1,Astrocyte_definite__Cahoy2008
AIFM3,Astrocyte_definite__Cahoy2008
ALDH1A1,Astrocyte_definite__Cahoy2008
ALDH1L1,Astrocyte_definite__Cahoy2008
ALDOC,Astrocyte_definite__Cahoy2008
AMOT,Astrocyte_definite__Cahoy2008
AOX1,Astrocyte_definite__Cahoy2008
APOE,Astrocyte_definite__Cahoy2008
AQP4,Astrocyte_definite__Cahoy2008
ASPH,Astrocyte_definite__Cahoy2008
ATP1A2,Astrocyte_definite__Cahoy2008
AU067665,Astrocyte_definite__Cahoy2008
AXL,Astrocyte_definite__Cahoy2008
BAALC,Astrocyte_definite__Cahoy2008
BC055107,Astrocyte_definite__Cahoy2008
BMPR1B,Astrocyte_definite__Cahoy2008
C030045D06RIK,Astrocyte_definite__Cahoy2008
C14orf145,Astrocyte_definite__Cahoy2008
CBR3,Astrocyte_definite__Cahoy2008
CBS,Astrocyte_definite__Cahoy2008
CCDC80,Astrocyte_definite__Cahoy2008
CD38,Astrocyte_definite__Cahoy2008
CEBPD,Astrocyte_definite__Cahoy2008
CHRDL1,Astrocyte_definite__Cahoy2008
CLDN10,Astrocyte_definite__Cahoy2008
CLU,Astrocyte_definite__Cahoy2008
CROT,Astrocyte_definite__Cahoy2008
CTH,Astrocyte_definite__Cahoy2008
CYBRD1,Astrocyte_definite__Cahoy2008
CYP2D6,Astrocyte_definite__Cahoy2008
CYP4F14,Astrocyte_definite__Cahoy2008
CYP4F15,Astrocyte_definite__Cahoy2008
CYP4V2,Astrocyte_definite__Cahoy2008
CYP7B1,Astrocyte_definite__Cahoy2008
DAPP1,Astrocyte_definite__Cahoy2008
DDAH1,Astrocyte_definite__Cahoy2008
DIO2,Astrocyte_definite__Cahoy2008
DMP1,Astrocyte_definite__Cahoy2008
E130114P18RIK,Astrocyte_definite__Cahoy2008
EDG1,Astrocyte_definite__Cahoy2008
EG328479,Astrocyte_definite__Cahoy2008
EGFL6,Astrocyte_definite__Cahoy2008
EGFR,Astrocyte_definite__Cahoy2008
ELOVL2,Astrocyte_definite__Cahoy2008
EMP2,Astrocyte_definite__Cahoy2008
EMX2,Astrocyte_definite__Cahoy2008
ENTPD2,Astrocyte_definite__Cahoy2008
EPHX2,Astrocyte_definite__Cahoy2008
F3,Astrocyte_definite__Cahoy2008
FAM20A,Astrocyte_definite__Cahoy2008
FBXO2,Astrocyte_definite__Cahoy2008
FGFBP3,Astrocyte_definite__Cahoy2008
FGFR3,Astrocyte_definite__Cahoy2008
FJX1,Astrocyte_definite__Cahoy2008
FKBP10,Astrocyte_definite__Cahoy2008
FLJ32569,Astrocyte_definite__Cahoy2008
FMO1,Astrocyte_definite__Cahoy2008
FOLH1,Astrocyte_definite__Cahoy2008
FXYD1,Astrocyte_definite__Cahoy2008
FZD2,Astrocyte_definite__Cahoy2008
GDPD2,Astrocyte_definite__Cahoy2008
GFAP,Astrocyte_definite__Cahoy2008
GJA1,Astrocyte_definite__Cahoy2008
GJB6,Astrocyte_definite__Cahoy2008
GLDC,Astrocyte_definite__Cahoy2008
GLI3,Astrocyte_definite__Cahoy2008
GLIS3,Astrocyte_definite__Cahoy2008
GM266,Astrocyte_definite__Cahoy2008
GRIN2C,Astrocyte_definite__Cahoy2008
GRM3,Astrocyte_definite__Cahoy2008
GSTM1,Astrocyte_definite__Cahoy2008
HAPLN1,Astrocyte_definite__Cahoy2008
HES5,Astrocyte_definite__Cahoy2008
HOP,Astrocyte_definite__Cahoy2008
HSD11B1,Astrocyte_definite__Cahoy2008
HTRA1,Astrocyte_definite__Cahoy2008
ID3,Astrocyte_definite__Cahoy2008
ID4,Astrocyte_definite__Cahoy2008
IGSF1,Astrocyte_definite__Cahoy2008
IL33,Astrocyte_definite__Cahoy2008
ITGB5,Astrocyte_definite__Cahoy2008
KCNE1L,Astrocyte_definite__Cahoy2008
KIAA1161,Astrocyte_definite__Cahoy2008
KLF15,Astrocyte_definite__Cahoy2008
LCAT,Astrocyte_definite__Cahoy2008
LGI4,Astrocyte_definite__Cahoy2008
LOC388419,Astrocyte_definite__Cahoy2008
LONRF3,Astrocyte_definite__Cahoy2008
LRIG1,Astrocyte_definite__Cahoy2008
LXN,Astrocyte_definite__Cahoy2008
MAMDC2,Astrocyte_definite__Cahoy2008
MERTK,Astrocyte_definite__Cahoy2008
MFGE8,Astrocyte_definite__Cahoy2008
MGC33846,Astrocyte_definite__Cahoy2008
MGC61598,Astrocyte_definite__Cahoy2008
MGST1,Astrocyte_definite__Cahoy2008
MLC1,Astrocyte_definite__Cahoy2008
MMP14,Astrocyte_definite__Cahoy2008
MYOC,Astrocyte_definite__Cahoy2008
MYOM3,Astrocyte_definite__Cahoy2008
NAPRT1,Astrocyte_definite__Cahoy2008
NDP,Astrocyte_definite__Cahoy2008
NOPE,Astrocyte_definite__Cahoy2008
NR2E1,Astrocyte_definite__Cahoy2008
NTSR2,Astrocyte_definite__Cahoy2008
OAF,Astrocyte_definite__Cahoy2008
P4HA3,Astrocyte_definite__Cahoy2008
PAPSS2,Astrocyte_definite__Cahoy2008
PAX6,Astrocyte_definite__Cahoy2008
PBXIP1,Astrocyte_definite__Cahoy2008
PDK4,Astrocyte_definite__Cahoy2008
PDLIM4,Astrocyte_definite__Cahoy2008
PDPN,Astrocyte_definite__Cahoy2008
PHKG1,Astrocyte_definite__Cahoy2008
PLA2G3,Astrocyte_definite__Cahoy2008
PLA2G7,Astrocyte_definite__Cahoy2008
PLCD4,Astrocyte_definite__Cahoy2008
PPP1R3C,Astrocyte_definite__Cahoy2008
PPP1R3D,Astrocyte_definite__Cahoy2008
PPP1R3G,Astrocyte_definite__Cahoy2008
PRDM16,Astrocyte_definite__Cahoy2008
PRKD1,Astrocyte_definite__Cahoy2008
PRODH,Astrocyte_definite__Cahoy2008
RBPMS2,Astrocyte_definite__Cahoy2008
RFX4,Astrocyte_definite__Cahoy2008
RGS20,Astrocyte_definite__Cahoy2008
RSPO1,Astrocyte_definite__Cahoy2008
SCARA3,Astrocyte_definite__Cahoy2008
SDC4,Astrocyte_definite__Cahoy2008
SELENBP1,Astrocyte_definite__Cahoy2008
SELENBP2,Astrocyte_definite__Cahoy2008
SERHL2,Astrocyte_definite__Cahoy2008
SERPINF1,Astrocyte_definite__Cahoy2008
SGEF,Astrocyte_definite__Cahoy2008
SLC13A3,Astrocyte_definite__Cahoy2008
SLC13A5,Astrocyte_definite__Cahoy2008
SLC14A1,Astrocyte_definite__Cahoy2008
SLC15A2,Astrocyte_definite__Cahoy2008
SLC1A2,Astrocyte_definite__Cahoy2008
SLC1A3,Astrocyte_definite__Cahoy2008
SLC1A4,Astrocyte_definite__Cahoy2008
SLC25A18,Astrocyte_definite__Cahoy2008
SLC27A1,Astrocyte_definite__Cahoy2008
SLC30A10,Astrocyte_definite__Cahoy2008
SLC39A12,Astrocyte_definite__Cahoy2008
SLC4A4,Astrocyte_definite__Cahoy2008
SLC7A10,Astrocyte_definite__Cahoy2008
SLC7A2,Astrocyte_definite__Cahoy2008
SLC9A3R1,Astrocyte_definite__Cahoy2008
SMO,Astrocyte_definite__Cahoy2008
SOAT1,Astrocyte_definite__Cahoy2008
SOX9,Astrocyte_definite__Cahoy2008
STK17B,Astrocyte_definite__Cahoy2008
SULT1A1,Astrocyte_definite__Cahoy2008
TFCP2L1,Astrocyte_definite__Cahoy2008
THBS4,Astrocyte_definite__Cahoy2008
THRSP,Astrocyte_definite__Cahoy2008
TLCD1,Astrocyte_definite__Cahoy2008
TLR3,Astrocyte_definite__Cahoy2008
TMEM166,Astrocyte_definite__Cahoy2008
TMEM47,Astrocyte_definite__Cahoy2008
TMEM51,Astrocyte_definite__Cahoy2008
TNC,Astrocyte_definite__Cahoy2008
TNFAIP8,Astrocyte_definite__Cahoy2008
TNFRSF19,Astrocyte_definite__Cahoy2008
TRIM9,Astrocyte_definite__Cahoy2008
TTPA,Astrocyte_definite__Cahoy2008
VCAM1,Astrocyte_definite__Cahoy2008
VIL2,Astrocyte_definite__Cahoy2008
ADRA1A,InhibitoryNeuron_MCT
AKR1C3,InhibitoryNeuron_MCT
ALDH5A1,InhibitoryNeuron_MCT
ANO4,InhibitoryNeuron_MCT
ARHGAP12,InhibitoryNeuron_MCT
ARHGEF6,InhibitoryNeuron_MCT
ARL4C,InhibitoryNeuron_MCT
ARX,InhibitoryNeuron_MCT
BAG2,InhibitoryNeuron_MCT
BEND4,InhibitoryNeuron_MCT
BTBD11,InhibitoryNeuron_MCT
CA2,InhibitoryNeuron_MCT
CACNA2D2,InhibitoryNeuron_MCT
CAPN2,InhibitoryNeuron_MCT
CARTPT,InhibitoryNeuron_MCT
CCBL1,InhibitoryNeuron_MCT
CD63,InhibitoryNeuron_MCT
CDH13,InhibitoryNeuron_MCT
CDH9,InhibitoryNeuron_MCT
CELF6,InhibitoryNeuron_MCT
CENPA,InhibitoryNeuron_MCT
CERK,InhibitoryNeuron_MCT
CGREF1,InhibitoryNeuron_MCT
CLMP,InhibitoryNeuron_MCT
CNTNAP4,InhibitoryNeuron_MCT
CNTNAP5,InhibitoryNeuron_MCT
COL19A1,InhibitoryNeuron_MCT
COX6A2,InhibitoryNeuron_MCT
CPNE2,InhibitoryNeuron_MCT
CRH,InhibitoryNeuron_MCT
CRHBP,InhibitoryNeuron_MCT
CTHRC1,InhibitoryNeuron_MCT
CYGB,InhibitoryNeuron_MCT
DLX1,InhibitoryNeuron_MCT
DLX5,InhibitoryNeuron_MCT
DNER,InhibitoryNeuron_MCT
DPYSL5,InhibitoryNeuron_MCT
DUSP10,InhibitoryNeuron_MCT
EFEMP2,InhibitoryNeuron_MCT
ENDOD1,InhibitoryNeuron_MCT
EPB41L5,InhibitoryNeuron_MCT
ERBB2IP,InhibitoryNeuron_MCT
ERBB4,InhibitoryNeuron_MCT
FAM46A,InhibitoryNeuron_MCT
FCHSD2,InhibitoryNeuron_MCT
FHL1,InhibitoryNeuron_MCT
FSTL5,InhibitoryNeuron_MCT
GAD1,InhibitoryNeuron_MCT
GAD2,InhibitoryNeuron_MCT
GALNTL6,InhibitoryNeuron_MCT
GFPT2,InhibitoryNeuron_MCT
GNG7,InhibitoryNeuron_MCT
GPR125,InhibitoryNeuron_MCT
GPR176,InhibitoryNeuron_MCT
GPRC5B,InhibitoryNeuron_MCT
GPX3,InhibitoryNeuron_MCT
GRIK1,InhibitoryNeuron_MCT
GRIP1,InhibitoryNeuron_MCT
GUSB,InhibitoryNeuron_MCT
HAPLN1,InhibitoryNeuron_MCT
HBEGF,InhibitoryNeuron_MCT
HEXIM2,InhibitoryNeuron_MCT
HTRA1,InhibitoryNeuron_MCT
IFIT2,InhibitoryNeuron_MCT
IGF1,InhibitoryNeuron_MCT
IGSF11,InhibitoryNeuron_MCT
IKBIP,InhibitoryNeuron_MCT
INPP5J,InhibitoryNeuron_MCT
KCNC1,InhibitoryNeuron_MCT
KCNK3,InhibitoryNeuron_MCT
KCNMB2,InhibitoryNeuron_MCT
KCNS3,InhibitoryNeuron_MCT
KCTD8,InhibitoryNeuron_MCT
KIT,InhibitoryNeuron_MCT
KLF3,InhibitoryNeuron_MCT
KLHL13,InhibitoryNeuron_MCT
LAP3,InhibitoryNeuron_MCT
LBH,InhibitoryNeuron_MCT
LGALS1,InhibitoryNeuron_MCT
LHX6,InhibitoryNeuron_MCT
LPPR1,InhibitoryNeuron_MCT
LYPD6,InhibitoryNeuron_MCT
LYPD6B,InhibitoryNeuron_MCT
MAP3K1,InhibitoryNeuron_MCT
MCF2,InhibitoryNeuron_MCT
MID1IP1,InhibitoryNeuron_MCT
MITF,InhibitoryNeuron_MCT
MME,InhibitoryNeuron_MCT
MRAP2,InhibitoryNeuron_MCT
MTAP,InhibitoryNeuron_MCT
MTSS1,InhibitoryNeuron_MCT
MYBPC1,InhibitoryNeuron_MCT
NACC2,InhibitoryNeuron_MCT
NDRG2,InhibitoryNeuron_MCT
NEK7,InhibitoryNeuron_MCT
NPAS3,InhibitoryNeuron_MCT
NPY,InhibitoryNeuron_MCT
NR2F2,InhibitoryNeuron_MCT
NUPR1,InhibitoryNeuron_MCT
NXPH1,InhibitoryNeuron_MCT
OPTN,InhibitoryNeuron_MCT
PARM1,InhibitoryNeuron_MCT
PCBD1,InhibitoryNeuron_MCT
PCDH18,InhibitoryNeuron_MCT
PCDH8,InhibitoryNeuron_MCT
PDE5A,InhibitoryNeuron_MCT
PLA2G7,InhibitoryNeuron_MCT
PNOC,InhibitoryNeuron_MCT
PROX1,InhibitoryNeuron_MCT
PRSS23,InhibitoryNeuron_MCT
PSAT1,InhibitoryNeuron_MCT
PTGS1,InhibitoryNeuron_MCT
PTHLH,InhibitoryNeuron_MCT
PTPRM,InhibitoryNeuron_MCT
PTPRO,InhibitoryNeuron_MCT
PTPRZ1,InhibitoryNeuron_MCT
PYGB,InhibitoryNeuron_MCT
RAB27A,InhibitoryNeuron_MCT
RASGRP2,InhibitoryNeuron_MCT
RBMS3,InhibitoryNeuron_MCT
RELN,InhibitoryNeuron_MCT
RERG,InhibitoryNeuron_MCT
RND2,InhibitoryNeuron_MCT
RNF128,InhibitoryNeuron_MCT
RNF144B,InhibitoryNeuron_MCT
ROBO1,InhibitoryNeuron_MCT
RPP25,InhibitoryNeuron_MCT
SALL2,InhibitoryNeuron_MCT
SEMA3C,InhibitoryNeuron_MCT
